Designator,Footprint,Quantity,Value,LCSC Part #
A1,Arduino_Nano,1,Arduino_Nano_Every,
C1,1206,1,0.1 uF,
D1,1206,1,Red,
D2,1206,1,Amber,
D3,1206,1,Yellow,
D4,1206,1,Green,
D5,1206,1,Blue,
J1,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
J2,JST Connector,1,Battery Header,
LS1,5v Buzzer,1,Buzzer,
"R1, R2, R3",1206,3,200Ω,
R4,1206,1,27Ω,
R5,1206,1,150Ω,
R6,1206,1,33 kΩ,
R7,1206,1,22 kΩ,
S1,Adafruit BME680,1,~,
S2,Sparkfun ADXL335,1,~,
S3,Slide Switch,1,Slide Switch,
U1,MODULE_254,1,254,
